epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,119.089,1.81294,1.74169,1.85497,0.3994,0.58291,0.28837,0.08452,2.4866,2.36769,2.61356,0.0014852,0.0014852,0.0014852
28,123.207,1.8083,1.7385,1.84816,0.44786,0.65327,0.38687,0.12939,2.0229,2.15979,2.20433,0.0014654,0.0014654,0.0014654
29,127.306,1.79726,1.67244,1.8172,0.48843,0.71357,0.44735,0.15385,1.9523,2.66875,2.11859,0.0014456,0.0014456,0.0014456
30,131.54,1.7628,1.6406,1.80072,0.28084,0.17085,0.13551,0.03953,3.04404,2.68331,3.18293,0.0014258,0.0014258,0.0014258
31,135.862,1.806,1.66218,1.82877,0.46864,0.68342,0.41278,0.14956,2.02649,1.83874,2.19508,0.001406,0.001406,0.001406
32,140.08,1.79136,1.64108,1.839,0.3653,0.53266,0.22785,0.06015,2.65203,2.09176,2.85595,0.0013862,0.0013862,0.0013862
33,144.251,1.85629,1.68353,1.88091,0.48596,0.70854,0.45759,0.15896,2.04321,2.00531,2.16755,0.0013664,0.0013664,0.0013664
34,148.39,1.80158,1.73107,1.80856,0.46164,0.67337,0.37626,0.12938,1.98764,2.1585,2.15281,0.0013466,0.0013466,0.0013466
35,152.548,1.75996,1.75715,1.83434,0.47854,0.69849,0.39102,0.13858,2.01622,2.04892,2.19165,0.0013268,0.0013268,0.0013268
36,156.927,1.67814,1.66848,1.76233,0.48576,0.70854,0.41848,0.15354,2.00442,1.88909,2.17913,0.001307,0.001307,0.001307
37,161.241,1.83425,1.62603,1.85005,0.47909,0.69849,0.38908,0.14268,2.05617,2.03352,2.22127,0.0012872,0.0012872,0.0012872
38,165.467,1.83072,1.63701,1.80668,0.48251,0.70352,0.40113,0.14444,2.06251,2.04145,2.19311,0.0012674,0.0012674,0.0012674
39,169.633,1.76875,1.649,1.78711,0.48411,0.70733,0.42706,0.15965,1.9776,1.85622,2.11517,0.0012476,0.0012476,0.0012476
40,173.816,1.73112,1.71918,1.75225,0.48233,0.70352,0.46641,0.16837,1.97258,1.96293,2.10783,0.0012278,0.0012278,0.0012278
41,178.02,1.78456,1.72142,1.78433,0.47877,0.69849,0.41455,0.15302,1.95541,1.90818,2.09841,0.001208,0.001208,0.001208
42,182.251,1.79392,1.65841,1.80164,0.42372,0.61809,0.35608,0.12217,2.13389,1.8804,2.32578,0.0011882,0.0011882,0.0011882
43,186.388,1.77888,1.61206,1.75782,0.46506,0.67839,0.4491,0.15757,2.01343,1.83065,2.1761,0.0011684,0.0011684,0.0011684
44,190.575,1.73514,1.65496,1.762,0.4428,0.64693,0.39828,0.14161,2.08976,1.97791,2.22865,0.0011486,0.0011486,0.0011486
45,194.765,1.76905,1.70869,1.7987,0.4752,0.69347,0.4441,0.16185,1.95933,2.05925,2.09589,0.0011288,0.0011288,0.0011288
46,199.207,1.69371,1.67069,1.75178,0.46307,0.67608,0.46066,0.16473,1.94195,2.01501,2.09223,0.001109,0.001109,0.001109
47,203.43,1.72156,1.63678,1.74811,0.465,0.67839,0.43662,0.1622,1.99179,1.86633,2.10325,0.0010892,0.0010892,0.0010892
48,207.683,1.7643,1.59389,1.76199,0.46471,0.67839,0.4254,0.15531,1.98536,1.8788,2.12765,0.0010694,0.0010694,0.0010694
49,211.844,1.78789,1.68026,1.79128,0.47783,0.67839,0.44064,0.16083,1.98563,1.87166,2.14251,0.0010496,0.0010496,0.0010496
50,216.149,1.71467,1.60068,1.7589,0.4695,0.66332,0.41817,0.15114,2.03032,1.96815,2.16398,0.0010298,0.0010298,0.0010298
51,220.336,1.82568,1.66475,1.78779,0.44435,0.64824,0.38234,0.14628,1.96602,1.91706,2.08951,0.00101,0.00101,0.00101
52,224.63,1.74729,1.71232,1.79044,0.40971,0.59799,0.37325,0.13372,2.01932,1.95403,2.17958,0.0009902,0.0009902,0.0009902
53,228.775,1.71229,1.65116,1.77292,0.4511,0.65829,0.41938,0.15993,1.94775,1.90317,2.08098,0.0009704,0.0009704,0.0009704
54,233.033,1.76453,1.66002,1.79191,0.47886,0.69849,0.43338,0.15544,1.9427,1.89562,2.06932,0.0009506,0.0009506,0.0009506
55,237.49,1.7139,1.60988,1.75432,0.47216,0.68844,0.41233,0.15583,1.935,1.90055,2.07282,0.0009308,0.0009308,0.0009308
56,241.716,1.73947,1.63115,1.75966,0.47903,0.69849,0.41239,0.15238,1.98059,1.91409,2.10863,0.000911,0.000911,0.000911
57,246.035,1.72895,1.58911,1.74406,0.48586,0.70854,0.42544,0.15585,1.97989,1.87075,2.11257,0.0008912,0.0008912,0.0008912
58,250.368,1.7099,1.58267,1.74446,0.48602,0.70854,0.41911,0.15168,1.99904,1.92947,2.13629,0.0008714,0.0008714,0.0008714
59,254.671,1.70993,1.58001,1.74259,0.4785,0.69849,0.41362,0.15315,1.99971,1.99483,2.12804,0.0008516,0.0008516,0.0008516
60,258.968,1.71064,1.60475,1.73803,0.47516,0.69347,0.41941,0.15429,1.95008,1.96689,2.07329,0.0008318,0.0008318,0.0008318
61,263.227,1.73646,1.61708,1.77886,0.47903,0.69849,0.42357,0.1543,1.96478,1.90315,2.07956,0.000812,0.000812,0.000812
62,267.425,1.78977,1.63717,1.77614,0.46147,0.67337,0.38568,0.14083,2.02882,1.8249,2.14884,0.0007922,0.0007922,0.0007922
63,271.701,1.69355,1.60808,1.71988,0.4578,0.66834,0.40258,0.14584,1.98851,1.91434,2.12939,0.0007724,0.0007724,0.0007724
64,275.786,1.68225,1.59512,1.75127,0.46477,0.67839,0.4168,0.1544,1.94655,2.02005,2.09531,0.0007526,0.0007526,0.0007526
65,279.993,1.73757,1.65119,1.76185,0.47191,0.68844,0.41014,0.15265,1.92496,1.98829,2.07254,0.0007328,0.0007328,0.0007328
66,284.247,1.68931,1.63993,1.72601,0.48198,0.70352,0.42505,0.16146,1.889,1.92607,2.03262,0.000713,0.000713,0.000713
67,288.514,1.6979,1.68547,1.74568,0.47881,0.69849,0.42336,0.15938,1.90338,1.81936,2.04741,0.0006932,0.0006932,0.0006932
68,292.801,1.69084,1.57016,1.7328,0.47885,0.69849,0.40247,0.1508,1.96055,1.86771,2.09611,0.0006734,0.0006734,0.0006734
69,297.075,1.62871,1.54997,1.66798,0.47476,0.69347,0.40833,0.15225,1.95245,1.93542,2.09232,0.0006536,0.0006536,0.0006536
70,301.291,1.71219,1.59357,1.73472,0.47539,0.69347,0.40725,0.1538,1.94445,1.91427,2.07845,0.0006338,0.0006338,0.0006338
71,305.613,1.67689,1.57835,1.70851,0.47551,0.69347,0.4161,0.15879,1.93276,1.7975,2.05979,0.000614,0.000614,0.000614
72,309.852,1.72871,1.61434,1.75815,0.46514,0.67839,0.41015,0.15426,1.94143,1.78168,2.07915,0.0005942,0.0005942,0.0005942
73,313.982,1.69881,1.5412,1.70575,0.47728,0.69743,0.41727,0.15669,1.95029,1.78325,2.07929,0.0005744,0.0005744,0.0005744
74,318.102,1.7243,1.58193,1.73226,0.47204,0.68844,0.40798,0.15255,1.92422,1.87751,2.05744,0.0005546,0.0005546,0.0005546
75,322.363,1.71944,1.59933,1.75476,0.46517,0.67839,0.38996,0.14661,1.9341,1.93684,2.0698,0.0005348,0.0005348,0.0005348
76,326.559,1.70364,1.6094,1.72002,0.47547,0.69347,0.41494,0.15687,1.8992,1.89752,2.03981,0.000515,0.000515,0.000515
77,330.905,1.69503,1.61684,1.72134,0.4788,0.69849,0.42121,0.15943,1.90216,1.84264,2.03556,0.0004952,0.0004952,0.0004952
78,335.193,1.6987,1.55103,1.72116,0.4789,0.69849,0.42668,0.15777,1.90894,1.82148,2.03186,0.0004754,0.0004754,0.0004754
79,339.454,1.6502,1.53536,1.70785,0.47887,0.69849,0.41976,0.15449,1.89746,1.88895,2.04278,0.0004556,0.0004556,0.0004556
80,343.65,1.64129,1.52984,1.68434,0.4617,0.67337,0.38984,0.14633,1.91347,1.94013,2.0612,0.0004358,0.0004358,0.0004358
81,347.937,1.70258,1.56804,1.72541,0.47545,0.69347,0.40412,0.15102,1.89951,1.94462,2.04799,0.000416,0.000416,0.000416
82,352.207,1.71328,1.56717,1.75607,0.4823,0.70352,0.42679,0.15683,1.87734,1.89283,2.02156,0.0003962,0.0003962,0.0003962
83,356.566,1.62835,1.54333,1.66975,0.47203,0.68844,0.41771,0.16303,1.8921,1.8461,2.03348,0.0003764,0.0003764,0.0003764
84,360.763,1.59853,1.5415,1.68929,0.47548,0.69347,0.40864,0.15781,1.8855,1.85566,2.02823,0.0003566,0.0003566,0.0003566
85,364.935,1.66802,1.59677,1.74463,0.47549,0.69347,0.40614,0.15589,1.88233,1.86213,2.03186,0.0003368,0.0003368,0.0003368
86,369.279,1.63265,1.56072,1.72479,0.47206,0.68844,0.41153,0.15455,1.87836,1.87083,2.0306,0.000317,0.000317,0.000317
87,373.435,1.61291,1.55126,1.68253,0.47205,0.68844,0.41074,0.15805,1.8825,1.86223,2.03632,0.0002972,0.0002972,0.0002972
88,377.608,1.6354,1.6517,1.73247,0.47891,0.69849,0.41257,0.15874,1.87602,1.88521,2.03047,0.0002774,0.0002774,0.0002774
89,381.99,1.65906,1.55619,1.71146,0.48225,0.70352,0.41739,0.15813,1.8667,1.89147,2.02047,0.0002576,0.0002576,0.0002576
90,386.137,1.60885,1.53704,1.68535,0.48221,0.70352,0.42367,0.15658,1.87052,1.89714,2.02352,0.0002378,0.0002378,0.0002378
91,415.519,1.78735,1.67585,1.95329,0.4855,0.70854,0.4289,0.15845,1.85686,1.89173,2.01231,0.000218,0.000218,0.000218
92,419.827,1.75035,1.65502,1.93788,0.47518,0.69347,0.41918,0.16121,1.88406,1.85783,2.03569,0.0001982,0.0001982,0.0001982
93,423.891,1.73255,1.58374,1.92082,0.48201,0.70352,0.42758,0.16035,1.88859,1.84578,2.03721,0.0001784,0.0001784,0.0001784
94,428.114,1.75218,1.58916,1.87999,0.48513,0.70854,0.43307,0.15783,1.85531,1.87369,2.00614,0.0001586,0.0001586,0.0001586
95,432.473,1.80528,1.61702,1.97095,0.48506,0.70854,0.43506,0.16105,1.83046,1.90743,1.98437,0.0001388,0.0001388,0.0001388
96,436.624,1.7415,1.58391,1.91509,0.48189,0.70352,0.43062,0.16076,1.82793,1.94335,1.98302,0.000119,0.000119,0.000119
97,440.845,1.75093,1.56556,1.92253,0.48193,0.70352,0.43101,0.16143,1.8302,1.95368,1.98245,9.92e-05,9.92e-05,9.92e-05
98,444.866,1.73945,1.51504,1.93684,0.48538,0.70854,0.43438,0.16068,1.83409,1.94802,1.98492,7.94e-05,7.94e-05,7.94e-05
99,448.994,1.7535,1.54131,1.91888,0.47851,0.69849,0.42996,0.16115,1.83873,1.93746,1.98877,5.96e-05,5.96e-05,5.96e-05
100,453.049,1.77019,1.58576,1.96385,0.48194,0.70352,0.43169,0.16093,1.83763,1.93025,1.98731,3.98e-05,3.98e-05,3.98e-05
