epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.0151,2.62204,3.37266,2.77441,0.00226,0.98995,0.17779,0.04734,2.12689,4.34331,2.65602,0.00028,0.00028,0.00028
2,12.56,1.94108,2.60876,2.02887,0.0022,0.9598,0.29128,0.08262,2.24113,3.81033,2.67655,0.000574258,0.000574258,0.000574258
3,17.1596,1.91857,2.51862,1.98599,0.42093,0.46734,0.32541,0.09292,2.40918,4.78516,3.21521,0.000862576,0.000862576,0.000862576
4,21.4496,1.98946,2.46321,2.04515,0.0727,0.24121,0.06603,0.01854,2.25991,20.4797,4.77983,0.00114495,0.00114495,0.00114495
5,25.6339,1.87387,2.31455,1.96921,0.04754,0.47739,0.03669,0.00933,2.27577,6.65546,4.70174,0.00142139,0.00142139,0.00142139
6,29.8497,1.88041,2.26586,1.96307,0.10546,0.40201,0.11702,0.02732,2.44319,24.8137,4.11021,0.00169189,0.00169189,0.00169189
7,34.1335,1.94745,2.22585,1.96346,0.07493,0.55779,0.06504,0.01376,2.62026,7.83588,3.0991,0.0018812,0.0018812,0.0018812
8,38.2839,1.88755,2.09641,1.96765,0.13447,0.20603,0.08737,0.01829,2.73421,21.0774,3.79598,0.0018614,0.0018614,0.0018614
9,42.4198,1.88511,1.98064,1.8868,0.20018,0.30151,0.11573,0.01872,2.87784,7.04587,3.56267,0.0018416,0.0018416,0.0018416
10,46.6686,1.82848,1.89177,1.87742,0.42859,0.56915,0.37374,0.11113,2.0548,6.22764,2.37881,0.0018218,0.0018218,0.0018218
11,50.9445,1.84769,1.94381,1.87213,0.14406,0.49246,0.10522,0.03138,2.22404,4.79462,2.47437,0.001802,0.001802,0.001802
12,55.1759,1.83636,1.86226,1.89499,0.32306,0.47236,0.18952,0.03904,2.53579,4.40221,3.10646,0.0017822,0.0017822,0.0017822
13,59.3909,1.86424,1.92499,1.90107,0.3017,0.41709,0.31483,0.10025,2.18907,2.72149,2.38544,0.0017624,0.0017624,0.0017624
14,63.5189,1.81295,1.84279,1.83972,0.46182,0.67337,0.3849,0.11557,2.04848,2.92101,2.28188,0.0017426,0.0017426,0.0017426
15,67.8621,1.83873,1.77712,1.85747,0.4855,0.70854,0.36179,0.12059,1.90835,3.44131,2.19027,0.0017228,0.0017228,0.0017228
16,72.3225,1.85716,1.79571,1.86137,0.05957,0.43719,0.03684,0.00938,2.92017,6.65633,3.40526,0.001703,0.001703,0.001703
17,76.5209,1.82627,1.80159,1.86983,0.02563,0.32663,0.02124,0.00399,2.79721,3.91764,3.2928,0.0016832,0.0016832,0.0016832
18,80.7954,1.83076,1.76235,1.84085,0.48606,0.70812,0.43059,0.1431,1.99686,2.02794,2.14908,0.0016634,0.0016634,0.0016634
19,85.0403,1.83642,1.73846,1.83719,0.41263,0.52954,0.31483,0.09667,2.17639,2.72573,2.35352,0.0016436,0.0016436,0.0016436
20,89.418,1.85542,1.76705,1.84675,0.42702,0.62312,0.33734,0.11216,2.04239,2.57951,2.20299,0.0016238,0.0016238,0.0016238
21,93.6292,1.85563,1.76236,1.83237,0.07176,0.44724,0.05099,0.0131,2.788,3.92142,3.09796,0.001604,0.001604,0.001604
22,97.8493,1.80868,1.72757,1.80273,0.46521,0.67839,0.39438,0.13954,2.0596,2.17227,2.19567,0.0015842,0.0015842,0.0015842
23,101.973,1.87403,1.74236,1.89088,0.22794,0.55779,0.23455,0.06855,2.36007,2.96597,2.62856,0.0015644,0.0015644,0.0015644
24,106.307,1.82147,1.77972,1.80995,0.46136,0.67337,0.37249,0.12672,2.10695,2.78977,2.27465,0.0015446,0.0015446,0.0015446
25,110.502,1.81014,1.77813,1.86906,0.39926,0.58291,0.29963,0.09301,2.28673,2.74932,2.56339,0.0015248,0.0015248,0.0015248
26,114.82,1.77189,1.70779,1.79069,0.25999,0.48241,0.16607,0.04102,2.62981,3.26131,2.83274,0.001505,0.001505,0.001505
