epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,64.8014,1.45343,1.78388,1.62867,0.32795,0.84211,0.53493,0.18103,2.03508,1.86971,2.30697,0.0011684,0.0011684,0.0011684
44,66.2249,1.4923,1.71735,1.67716,0.41418,0.84211,0.55227,0.18491,2.03922,1.65386,2.3197,0.0011486,0.0011486,0.0011486
45,67.5764,1.53356,1.63684,1.68204,0.44722,0.89474,0.63012,0.22033,2.09435,1.60462,2.39419,0.0011288,0.0011288,0.0011288
46,68.9193,1.61939,1.77183,1.76308,0.43719,0.89474,0.62378,0.20019,2.14328,1.60199,2.42777,0.001109,0.001109,0.001109
47,70.2453,1.63712,1.69131,1.73438,0.33666,1,0.66785,0.22296,2.02881,1.62426,2.30878,0.0010892,0.0010892,0.0010892
48,71.5768,1.4997,1.69868,1.66209,0.41402,0.89474,0.6698,0.20348,2.00181,1.65839,2.28173,0.0010694,0.0010694,0.0010694
49,72.9508,1.47259,1.69234,1.65915,0.59895,0.94737,0.82171,0.2281,1.9985,1.64835,2.27014,0.0010496,0.0010496,0.0010496
50,74.3444,1.53052,1.63467,1.6716,0.52927,0.73684,0.59458,0.20868,1.98387,1.6565,2.28948,0.0010298,0.0010298,0.0010298
51,75.6427,1.52571,1.7671,1.68395,0.6314,0.89474,0.68982,0.22055,2.00438,1.61045,2.33212,0.00101,0.00101,0.00101
52,76.9793,1.49619,1.78703,1.67442,0.47056,0.94737,0.70734,0.21449,2.02654,1.55494,2.33156,0.0009902,0.0009902,0.0009902
53,78.347,1.51295,1.66154,1.67385,0.37881,0.94737,0.71877,0.24269,2.06444,1.58191,2.38217,0.0009704,0.0009704,0.0009704
54,79.6741,1.55576,1.65062,1.701,0.39219,0.78947,0.58705,0.19251,2.07564,1.53504,2.38258,0.0009506,0.0009506,0.0009506
55,80.9965,1.49104,1.61905,1.6566,0.39043,0.78947,0.53819,0.16053,2.06382,1.59906,2.30911,0.0009308,0.0009308,0.0009308
56,82.3317,1.54122,1.67394,1.72403,0.54816,0.57485,0.49254,0.15178,2.04787,1.6843,2.39778,0.000911,0.000911,0.000911
57,83.6995,1.49341,1.68441,1.65987,0.33045,0.63158,0.38893,0.10955,2.15834,1.80415,2.53424,0.0008912,0.0008912,0.0008912
58,84.9929,1.51751,1.71409,1.67618,0.22665,0.68421,0.43988,0.09821,2.25971,2.26844,2.64528,0.0008714,0.0008714,0.0008714
59,86.3846,1.50394,1.61125,1.60863,0.18763,0.68421,0.48257,0.10392,2.26054,2.36763,2.70675,0.0008516,0.0008516,0.0008516
60,87.7701,1.46584,1.75691,1.69614,0.33644,0.68421,0.50678,0.13914,2.08946,1.94176,2.44064,0.0008318,0.0008318,0.0008318
61,89.1031,1.49237,1.59884,1.64841,0.36375,0.73684,0.55786,0.20041,2.00183,1.7559,2.30629,0.000812,0.000812,0.000812
62,90.4413,1.45716,1.66141,1.64302,0.39119,0.78947,0.51208,0.17476,2.07639,1.65551,2.3764,0.0007922,0.0007922,0.0007922
63,91.7929,1.55081,1.59748,1.66641,0.38881,0.78947,0.57795,0.20528,2.10514,1.64763,2.41652,0.0007724,0.0007724,0.0007724
64,93.241,1.51703,1.67115,1.65946,0.46729,0.94737,0.69154,0.22803,2.00091,1.57905,2.22629,0.0007526,0.0007526,0.0007526
